ANO,MES,CODIGO_RNT,COD_MUN,COD_DPTO,ESTADO_RNT,RAZON_SOCIAL_ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,CATEGORIA,SUB_CATEGORIA,HABITACIONES,CAMAS,NUM_EMP
2024,2,57468,27001,27,ACTIVO,HOTEL SHAIRA 2,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,58,66,7
2024,1,58080,27075,27,ACTIVO,HOSTAL ADRIMAR,CHOCO,BAHIA SOLANO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,8,14,1
2024,1,58081,27006,27,ACTIVO,HOSTAL PATIO BONITO CARPURGANÁ,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,10,25,0
2024,3,58214,27495,27,ACTIVO,CABAÑA PALO DE AGUA,CHOCO,NUQUI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,3,9,0
2024,1,58339,27075,27,ACTIVO,POSADA EL ARCA,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),1,15,1
2024,2,58822,27495,27,ACTIVO,PLAYA MORROMICO,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),4,9,0
2024,3,58864,27495,27,ACTIVO,HOTEL PUERTA DEL SOL NUQUI,CHOCO,NUQUI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,12,25,0
2024,3,58883,27001,27,ACTIVO,HOTEL MEDELLIN LA CUARTA,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,12,14,0
2024,4,59316,27006,27,ACTIVO,HOSTAL PARAISO COMO EN CASA,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,16,46,0
2024,2,59818,27001,27,ACTIVO,IRIACA SAS,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,50,74,32
2024,4,59819,27800,27,ACTIVO,HOTEL DIVINO NIÑO DE UNGUIA,CHOCO,UNGUIA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,18,18,0
2024,3,59996,27001,27,ACTIVO,HOTEL SAN FRANCISCO DE QUIBDÓ,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,32,71,6
2024,2,60770,27495,27,ACTIVO,CABAÑAS MAR Y RIO,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),4,15,0
2024,3,60899,27075,27,ACTIVO,POSADA OLIVACEA,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),1,3,0
